order_id,Customer_ID,Product_ID,Order_Date,Order_Status,Order_Quantity,Unit_Price,Discount,Shipping_Mode,Shipping_Carrier,Shipping_Date_Scheduled,Shipping_Date_Actual,Delivery_Status,Late_Delivery_Risk_Flag,VAT_Rate,COGS,Unit_Price_Effective,Order_Total,VAT_Amount,Profit_Per_Order
ORD0000041,CUST00319,PROD00005,1/15/2024,Pending,2,128.35,0.02,Standard,CarrierC,1/16/2024,1/20/2024,Late,1,0.25,70.84,125.783,251.566,62.8915,180.726
ORD0000042,CUST00438,PROD00127,8/7/2022,Completed,10,249.89,0.16,Express,CarrierE,8/12/2022,8/15/2022,Late,1,0.25,1645.1,209.9076,2099.076,524.769,453.976
ORD0000043,CUST00055,PROD00074,9/14/2023,Cancelled,5,301.43,0.19,Same Day,CarrierB,9/16/2023,9/19/2023,Late,1,0.21,820.05,244.1583,1220.7915,256.366215,400.7415
ORD0000044,CUST00371,PROD00126,2/5/2024,Completed,3,200.29,0.07,Same Day,CarrierD,2/7/2024,2/11/2024,Late,1,0.19,264.87,186.2697,558.8091,106.173729,293.9391
ORD0000045,CUST00424,PROD00164,7/7/2022,Pending,3,193.59,0.19,Economy,CarrierC,7/12/2022,7/12/2022,On Time,0,0.1,328.44,156.8079,470.4237,47.04237,141.9837
ORD0000046,CUST00399,PROD00151,1/31/2022,Completed,7,260.06,0.01,Economy,CarrierE,2/4/2022,2/5/2022,Late,1,0.21,1274.77,257.4594,1802.2158,378.465318,527.4458
ORD0000047,CUST00149,PROD00168,9/16/2022,Completed,5,177.65,0.23,Economy,CarrierB,9/21/2022,9/22/2022,Late,1,0.21,206.85,136.7905,683.9525,143.630025,477.1025
ORD0000048,CUST00431,PROD00005,11/6/2023,Completed,1,128.35,0.1,Standard,CarrierB,11/8/2023,11/12/2023,Late,1,0.1,35.42,115.515,115.515,11.5515,80.095
ORD0000049,CUST00457,PROD00034,12/10/2022,Completed,3,266.45,0.21,Same Day,CarrierB,12/14/2022,12/16/2022,Late,1,0.19,570.09,210.4955,631.4865,119.982435,61.3965
ORD0000050,CUST00309,PROD00024,11/4/2022,Completed,5,134.76,0.08,Same Day,CarrierB,11/5/2022,11/5/2022,On Time,0,0.19,382.2,123.9792,619.896,117.78024,237.696
ORD0000051,CUST00137,PROD00145,3/12/2022,Completed,4,123.32,0.18,Economy,CarrierD,3/14/2022,3/15/2022,Late,1,0,242.16,101.1224,404.4896,0,162.3296
ORD0000052,CUST00202,PROD00095,11/3/2022,Completed,3,178.76,0.14,Same Day,CarrierA,11/4/2022,11/7/2022,Late,1,0.21,466.02,153.7336,461.2008,96.852168,-4.8192
ORD0000053,CUST00436,PROD00071,7/22/2023,Completed,4,277.95,0.11,Economy,CarrierD,7/24/2023,7/28/2023,Late,1,0.25,622.36,247.3755,989.502,247.3755,367.142
ORD0000054,CUST00313,PROD00092,4/9/2022,Pending,4,154.5,0.25,Same Day,CarrierA,4/11/2022,4/12/2022,Late,1,0,576.32,115.875,463.5,0,-112.82
ORD0000055,CUST00117,PROD00125,1/21/2022,Pending,4,192.91,0.2,Standard,CarrierB,1/25/2022,1/26/2022,Late,1,0.18,197.8,154.328,617.312,111.11616,419.512
ORD0000056,CUST00154,PROD00022,6/15/2024,Completed,3,119.6,0.03,Economy,CarrierA,6/17/2024,6/18/2024,Late,1,0.2,96.6,116.012,348.036,69.6072,251.436
ORD0000057,CUST00425,PROD00015,9/12/2023,Completed,2,148.73,0.24,Economy,CarrierA,9/18/2023,9/22/2023,Late,1,0.18,80.92,113.0348,226.0696,40.692528,145.1496
ORD0000058,CUST00291,PROD00101,7/19/2023,Completed,7,23.62,0.12,Standard,CarrierE,7/24/2023,7/25/2023,Late,1,0.18,77.91,20.7856,145.4992,26.189856,67.5892
ORD0000059,CUST00063,PROD00015,1/6/2022,Completed,5,148.73,0.16,Economy,CarrierE,1/10/2022,1/11/2022,Late,1,0.2,202.3,124.9332,624.666,124.9332,422.366
ORD0000060,CUST00244,PROD00153,8/19/2022,Completed,4,133.76,0.03,Economy,CarrierC,8/24/2022,8/25/2022,Late,1,0.2,133,129.7472,518.9888,103.79776,385.9888
ORD0000061,CUST00025,PROD00053,9/20/2024,Completed,6,316.61,0.25,Same Day,CarrierC,9/23/2024,9/24/2024,Late,1,0.22,1129.2,237.4575,1424.745,313.4439,295.545
ORD0000062,CUST00090,PROD00149,3/23/2022,Completed,3,74.36,0.12,Standard,CarrierE,3/27/2022,3/30/2022,Late,1,0.2,45.12,65.4368,196.3104,39.26208,151.1904
ORD0000063,CUST00075,PROD00102,8/15/2024,Completed,8,211.15,0.12,Same Day,CarrierC,8/18/2024,8/22/2024,Late,1,0.1,1032.8,185.812,1486.496,148.6496,453.696
ORD0000064,CUST00294,PROD00194,8/5/2022,Completed,1,246.03,0.07,Same Day,CarrierA,8/9/2022,8/13/2022,Late,1,0.2,128.45,228.8079,228.8079,45.76158,100.3579
ORD0000065,CUST00386,PROD00113,12/1/2022,Pending,8,194.97,0.1,Same Day,CarrierD,12/4/2022,12/4/2022,On Time,0,0.2,1490.32,175.473,1403.784,280.7568,-86.536
ORD0000066,CUST00391,PROD00032,7/13/2023,Completed,6,116.13,0.19,Express,CarrierE,7/16/2023,7/20/2023,Late,1,0,229.5,94.0653,564.3918,0,334.8918
ORD0000067,CUST00210,PROD00021,5/13/2024,Completed,10,224.66,0.02,Express,CarrierB,5/14/2024,5/16/2024,Late,1,0.19,1243.1,220.1668,2201.668,418.31692,958.568
ORD0000068,CUST00475,PROD00196,5/23/2024,Cancelled,5,213.06,0.07,Express,CarrierE,5/26/2024,5/29/2024,Late,1,0.19,365.5,198.1458,990.729,188.23851,625.229
ORD0000069,CUST00418,PROD00172,1/23/2024,Completed,3,15.87,0.09,Same Day,CarrierD,1/27/2024,1/27/2024,On Time,0,0.2,24.69,14.4417,43.3251,8.66502,18.6351
ORD0000070,CUST00347,PROD00083,11/21/2023,Completed,6,128.99,0.06,Economy,CarrierA,11/24/2023,11/28/2023,Late,1,0.2,417.18,121.2506,727.5036,145.50072,310.3236
ORD0000071,CUST00017,PROD00194,8/17/2023,Completed,6,246.03,0.05,Same Day,CarrierC,8/23/2023,8/27/2023,Late,1,0.2,770.7,233.7285,1402.371,280.4742,631.671
ORD0000072,CUST00128,PROD00014,3/9/2024,Completed,5,83.93,0.25,Economy,CarrierD,3/13/2024,3/14/2024,Late,1,0.2,232.05,62.9475,314.7375,62.9475,82.6875
ORD0000073,CUST00427,PROD00015,12/5/2023,Completed,4,148.73,0.2,Same Day,CarrierD,12/6/2023,12/7/2023,Late,1,0,161.84,118.984,475.936,0,314.096
ORD0000074,CUST00443,PROD00148,7/13/2024,Completed,10,114.59,0.05,Standard,CarrierD,7/18/2024,7/19/2024,Late,1,0.1,1030.2,108.8605,1088.605,108.8605,58.405
ORD0000075,CUST00364,PROD00034,10/17/2023,Pending,8,266.45,0.22,Standard,CarrierE,10/20/2023,10/21/2023,Late,1,0.2,1520.24,207.831,1662.648,332.5296,142.408
ORD0000076,CUST00251,PROD00164,4/5/2024,Completed,4,193.59,0.1,Same Day,CarrierD,4/8/2024,4/11/2024,Late,1,0.2,437.92,174.231,696.924,139.3848,259.004
ORD0000077,CUST00179,PROD00083,3/1/2024,Completed,8,128.99,0.02,Same Day,CarrierB,3/7/2024,3/9/2024,Late,1,0.25,556.24,126.4102,1011.2816,252.8204,455.0416
ORD0000078,CUST00182,PROD00009,7/22/2024,Completed,6,127.95,0.15,Economy,CarrierC,7/25/2024,7/26/2024,Late,1,0.1,733.32,108.7575,652.545,65.2545,-80.775
ORD0000079,CUST00152,PROD00199,7/7/2023,Completed,6,291.86,0.13,Economy,CarrierB,7/10/2023,7/12/2023,Late,1,0,1067.88,253.9182,1523.5092,0,455.6292
ORD0000080,CUST00025,PROD00158,4/4/2023,Completed,4,243.46,0.11,Same Day,CarrierC,4/9/2023,4/13/2023,Late,1,0.22,614.08,216.6794,866.7176,190.677872,252.6376
ORD0000081,CUST00455,PROD00077,2/22/2024,Completed,6,276.15,0.05,Economy,CarrierD,2/25/2024,2/28/2024,Late,1,0.19,932.4,262.3425,1574.055,299.07045,641.655
ORD0000082,CUST00180,PROD00191,3/28/2022,Pending,5,171.78,0.19,Economy,CarrierE,4/3/2022,4/3/2022,On Time,0,0.1,115.8,139.1418,695.709,69.5709,579.909
ORD0000083,CUST00198,PROD00163,5/30/2023,Completed,5,199.99,0.13,Economy,CarrierB,6/4/2023,6/4/2023,On Time,0,0.2,642.7,173.9913,869.9565,173.9913,227.2565
ORD0000084,CUST00344,PROD00141,12/24/2023,Completed,4,268.96,0.21,Standard,CarrierB,12/29/2023,1/1/2024,Late,1,0.2,770.72,212.4784,849.9136,169.98272,79.1936
ORD0000085,CUST00161,PROD00174,5/28/2023,Completed,5,153.21,0.05,Economy,CarrierB,5/29/2023,5/29/2023,On Time,0,0.2,245.85,145.5495,727.7475,145.5495,481.8975
ORD0000086,CUST00177,PROD00184,9/10/2024,Completed,6,308.31,0.24,Same Day,CarrierD,9/13/2024,9/14/2024,Late,1,0.19,1056.48,234.3156,1405.8936,267.119784,349.4136
ORD0000087,CUST00285,PROD00009,8/10/2023,Completed,5,127.95,0.17,Same Day,CarrierE,8/15/2023,8/16/2023,Late,1,0.1,611.1,106.1985,530.9925,53.09925,-80.1075
ORD0000088,CUST00063,PROD00036,4/23/2023,Completed,6,272.4,0.12,Standard,CarrierA,4/29/2023,5/3/2023,Late,1,0.2,975.84,239.712,1438.272,287.6544,462.432
ORD0000089,CUST00491,PROD00117,5/13/2023,Completed,2,226.02,0.19,Express,CarrierE,5/14/2023,5/16/2023,Late,1,0.1,323.44,183.0762,366.1524,36.61524,42.7124
ORD0000090,CUST00150,PROD00003,6/25/2024,Completed,5,176.18,0.15,Economy,CarrierA,6/29/2024,7/3/2024,Late,1,0.25,738.7,149.753,748.765,187.19125,10.065
ORD0000091,CUST00154,PROD00019,8/13/2024,Completed,6,188.43,0.11,Express,CarrierA,8/14/2024,8/14/2024,On Time,0,0.2,535.38,167.7027,1006.2162,201.24324,470.8362
ORD0000092,CUST00156,PROD00156,1/13/2024,Completed,1,150.35,0.19,Standard,CarrierC,1/18/2024,1/19/2024,Late,1,0.2,52.2,121.7835,121.7835,24.3567,69.5835
ORD0000093,CUST00370,PROD00023,3/25/2023,Completed,7,80.55,0.08,Economy,CarrierC,3/26/2023,3/27/2023,Late,1,0.2,433.79,74.106,518.742,103.7484,84.952
ORD0000094,CUST00469,PROD00104,8/11/2023,Completed,7,201.6,0.01,Express,CarrierE,8/15/2023,8/15/2023,On Time,0,0.18,729.19,199.584,1397.088,251.47584,667.898
ORD0000095,CUST00049,PROD00135,9/17/2022,Pending,3,200.54,0.2,Same Day,CarrierA,9/18/2022,9/19/2022,Late,1,0.2,566.61,160.432,481.296,96.2592,-85.314
ORD0000096,CUST00455,PROD00105,6/21/2023,Completed,2,292.26,0.07,Standard,CarrierA,6/23/2023,6/26/2023,Late,1,0.19,363.96,271.8018,543.6036,103.284684,179.6436
ORD0000097,CUST00337,PROD00142,7/19/2022,Pending,10,127.75,0.15,Same Day,CarrierC,7/25/2022,7/28/2022,Late,1,0.21,541,108.5875,1085.875,228.03375,544.875
ORD0000098,CUST00084,PROD00046,4/8/2023,Completed,5,273.8,0.22,Standard,CarrierA,4/12/2023,4/16/2023,Late,1,0.21,670.95,213.564,1067.82,224.2422,396.87
ORD0000099,CUST00361,PROD00143,7/27/2024,Completed,7,132.07,0.06,Standard,CarrierA,7/31/2024,7/31/2024,On Time,0,0,713.72,124.1458,869.0206,0,155.3006
ORD0000100,CUST00177,PROD00195,4/4/2022,Completed,5,125.53,0.22,Economy,CarrierA,4/6/2022,4/6/2022,On Time,0,0.19,355.55,97.9134,489.567,93.01773,134.017
ORD0000101,CUST00148,PROD00015,7/24/2024,Completed,3,148.73,0.04,Economy,CarrierA,7/29/2024,7/29/2024,On Time,0,0.1,121.38,142.7808,428.3424,42.83424,306.9624
ORD0000102,CUST00118,PROD00051,12/18/2022,Completed,5,241.77,0.06,Standard,CarrierE,12/23/2022,12/23/2022,On Time,0,0,970.35,227.2638,1136.319,0,165.969
ORD0000103,CUST00342,PROD00110,4/18/2022,Completed,3,64.28,0.14,Standard,CarrierE,4/19/2022,4/22/2022,Late,1,0.1,60.03,55.2808,165.8424,16.58424,105.8124
ORD0000104,CUST00476,PROD00008,12/21/2022,Completed,5,275.11,0.13,Same Day,CarrierB,12/26/2022,12/29/2022,Late,1,0.1,869.5,239.3457,1196.7285,119.67285,327.2285
ORD0000105,CUST00063,PROD00069,4/14/2023,Completed,5,76.67,0.22,Express,CarrierD,4/17/2023,4/19/2023,Late,1,0.2,97.7,59.8026,299.013,59.8026,201.313
ORD0000106,CUST00189,PROD00190,4/5/2022,Completed,5,174.15,0.06,Express,CarrierD,4/7/2022,4/9/2022,Late,1,0.2,260.8,163.701,818.505,163.701,557.705
ORD0000107,CUST00360,PROD00179,5/17/2024,Completed,8,310.76,0.24,Same Day,CarrierB,5/18/2024,5/22/2024,Late,1,0.1,1501.28,236.1776,1889.4208,188.94208,388.1408
ORD0000108,CUST00049,PROD00063,4/1/2022,Completed,6,191.91,0.15,Express,CarrierC,4/7/2022,4/11/2022,Late,1,0.2,999.6,163.1235,978.741,195.7482,-20.859
ORD0000109,CUST00327,PROD00068,2/13/2022,Pending,6,268.29,0.16,Economy,CarrierE,2/15/2022,2/16/2022,Late,1,0,968.58,225.3636,1352.1816,0,383.6016
ORD0000110,CUST00257,PROD00144,4/1/2023,Cancelled,6,131.58,0,Express,CarrierE,4/7/2023,4/9/2023,Late,1,0.25,382.02,131.58,789.48,197.37,407.46
ORD0000111,CUST00224,PROD00152,8/12/2024,Completed,4,180.9,0.25,Economy,CarrierA,8/18/2024,8/21/2024,Late,1,0.18,206.84,135.675,542.7,97.686,335.86
ORD0000112,CUST00141,PROD00006,1/19/2023,Completed,4,41.75,0.09,Standard,CarrierE,1/22/2023,1/25/2023,Late,1,0.25,141.68,37.9925,151.97,37.9925,10.29
ORD0000113,CUST00478,PROD00119,1/23/2022,Completed,6,206.73,0.12,Economy,CarrierD,1/26/2022,1/29/2022,Late,1,0.1,1074.3,181.9224,1091.5344,109.15344,17.2344
ORD0000114,CUST00215,PROD00057,12/3/2023,Completed,4,163,0.01,Express,CarrierC,12/7/2023,12/8/2023,Late,1,0.22,89.04,161.37,645.48,142.0056,556.44
ORD0000115,CUST00435,PROD00031,1/23/2022,Completed,6,243.72,0.12,Economy,CarrierD,1/27/2022,1/27/2022,On Time,0,0.22,740.82,214.4736,1286.8416,283.105152,546.0216
ORD0000116,CUST00379,PROD00006,8/22/2022,Completed,6,41.75,0.02,Economy,CarrierA,8/26/2022,8/28/2022,Late,1,0.19,212.52,40.915,245.49,46.6431,32.97
ORD0000117,CUST00440,PROD00157,11/29/2023,Completed,4,144.91,0.24,Standard,CarrierE,11/30/2023,12/2/2023,Late,1,0.22,544.28,110.1316,440.5264,96.915808,-103.7536
ORD0000118,CUST00211,PROD00067,11/7/2022,Completed,4,138.55,0.21,Standard,CarrierE,11/13/2022,11/15/2022,Late,1,0.1,129.92,109.4545,437.818,43.7818,307.898
ORD0000119,CUST00318,PROD00131,2/21/2023,Completed,5,143.02,0.18,Economy,CarrierE,2/25/2023,2/28/2023,Late,1,0.1,432,117.2764,586.382,58.6382,154.382
ORD0000120,CUST00032,PROD00156,11/29/2022,Completed,7,150.35,0.13,Express,CarrierC,12/2/2022,12/5/2022,Late,1,0.18,365.4,130.8045,915.6315,164.81367,550.2315
ORD0000121,CUST00158,PROD00074,7/29/2023,Completed,6,301.43,0.2,Economy,CarrierE,8/4/2023,8/7/2023,Late,1,0.21,984.06,241.144,1446.864,303.84144,462.804
ORD0000122,CUST00285,PROD00114,4/13/2022,Completed,7,307.16,0.04,Express,CarrierE,4/17/2022,4/18/2022,Late,1,0.1,1138.06,294.8736,2064.1152,206.41152,926.0552
ORD0000123,CUST00305,PROD00097,5/15/2023,Completed,6,223.58,0.03,Standard,CarrierB,5/19/2023,5/23/2023,Late,1,0.1,641.58,216.8726,1301.2356,130.12356,659.6556
ORD0000124,CUST00429,PROD00176,4/7/2024,Completed,4,90.25,0,Standard,CarrierB,4/13/2024,4/16/2024,Late,1,0.1,156,90.25,361,36.1,205
ORD0000125,CUST00477,PROD00080,4/28/2023,Completed,5,147.98,0.13,Standard,CarrierB,4/30/2023,5/2/2023,Late,1,0.19,137.95,128.7426,643.713,122.30547,505.763
ORD0000126,CUST00286,PROD00123,7/8/2022,Completed,4,167.74,0.17,Standard,CarrierD,7/10/2022,7/11/2022,Late,1,0.2,268.04,139.2242,556.8968,111.37936,288.8568
ORD0000127,CUST00144,PROD00138,4/27/2024,Completed,4,249.12,0.08,Standard,CarrierE,5/1/2024,5/4/2024,Late,1,0,568.36,229.1904,916.7616,0,348.4016
ORD0000128,CUST00424,PROD00033,4/5/2023,Completed,5,106.34,0.01,Economy,CarrierA,4/7/2023,4/9/2023,Late,1,0.1,88.45,105.2766,526.383,52.6383,437.933
ORD0000129,CUST00019,PROD00195,7/8/2022,Completed,3,125.53,0.02,Standard,CarrierD,7/14/2022,7/18/2022,Late,1,0.2,213.33,123.0194,369.0582,73.81164,155.7282
ORD0000130,CUST00018,PROD00197,12/17/2022,Completed,7,276.03,0.04,Standard,CarrierD,12/19/2022,12/22/2022,Late,1,0.2,1025.92,264.9888,1854.9216,370.98432,829.0016
ORD0000131,CUST00257,PROD00140,8/4/2023,Completed,5,213.69,0.11,Express,CarrierD,8/8/2023,8/10/2023,Late,1,0.25,972.5,190.1841,950.9205,237.730125,-21.5795
ORD0000132,CUST00078,PROD00185,4/24/2022,Completed,4,166.89,0.11,Express,CarrierA,4/30/2022,5/1/2022,Late,1,0.2,221.2,148.5321,594.1284,118.82568,372.9284
ORD0000133,CUST00371,PROD00044,4/14/2022,Completed,5,240.99,0.03,Economy,CarrierE,4/19/2022,4/22/2022,Late,1,0.19,911.6,233.7603,1168.8015,222.072285,257.2015
ORD0000134,CUST00175,PROD00013,9/12/2023,Pending,3,266.86,0.2,Economy,CarrierD,9/13/2023,9/15/2023,Late,1,0.25,501.99,213.488,640.464,160.116,138.474
ORD0000135,CUST00498,PROD00152,5/23/2023,Completed,3,180.9,0.16,Economy,CarrierD,5/26/2023,5/28/2023,Late,1,0.1,155.13,151.956,455.868,45.5868,300.738
ORD0000136,CUST00194,PROD00172,12/11/2022,Pending,4,15.87,0.12,Economy,CarrierA,12/15/2022,12/17/2022,Late,1,0.1,32.92,13.9656,55.8624,5.58624,22.9424
ORD0000137,CUST00476,PROD00057,1/21/2022,Completed,6,163,0.18,Express,CarrierB,1/24/2022,1/25/2022,Late,1,0.1,133.56,133.66,801.96,80.196,668.4
ORD0000138,CUST00113,PROD00096,1/22/2023,Completed,6,182.02,0.24,Express,CarrierD,1/25/2023,1/29/2023,Late,1,0.18,607.74,138.3352,830.0112,149.402016,222.2712
ORD0000139,CUST00114,PROD00144,8/1/2024,Completed,4,131.58,0.01,Express,CarrierA,8/5/2024,8/9/2024,Late,1,0.19,254.68,130.2642,521.0568,99.000792,266.3768
ORD0000140,CUST00222,PROD00109,2/17/2024,Cancelled,6,169.92,0.25,Same Day,CarrierE,2/23/2024,2/26/2024,Late,1,0.1,297.72,127.44,764.64,76.464,466.92
ORD0000141,CUST00166,PROD00120,5/4/2024,Completed,4,151.46,0.25,Express,CarrierB,5/9/2024,5/12/2024,Late,1,0.2,440.68,113.595,454.38,90.876,13.7
ORD0000142,CUST00435,PROD00100,7/28/2022,Completed,6,43.42,0.03,Express,CarrierB,7/31/2022,8/4/2022,Late,1,0.22,156.24,42.1174,252.7044,55.594968,96.4644
